Name	Coefficient	Coefficient_std_error	Coefficient_P_value	q_value	sig_bonferroni	sig_fdr05
photoreceptor_cell_R7	8.3545762440169e-07	5.471767480723767e-06	0.439323287034071	0.6008069576631284	False	False
ejaculatory_bulb_epithelium	7.770738522687821e-07	5.711306868350813e-06	0.4458873784062962	0.6008069576631284	False	False
T_neuron_T3	6.906005531758622e-07	5.536836653698893e-06	0.4503693025026595	0.6008069576631284	False	False
scolopidial_neuron	6.186439774875097e-07	5.364355214991787e-06	0.4540937829665994	0.6008069576631284	False	False
transmedullary_neuron_Tm5c	6.197806944151388e-07	5.511970771655981e-06	0.4552362131888905	0.6008069576631284	False	False
photoreceptor_cell_R8	6.564369096050831e-07	6.086325499628419e-06	0.4570555996946498	0.6008069576631284	False	False
outer_photoreceptor_cell	5.493859836592531e-07	5.755018490754421e-06	0.4619739078029939	0.602413975775104	False	False
transmedullary_neuron_Tm9	3.638478512683699e-07	5.548130987648971e-06	0.4738560042933278	0.6081594910347508	False	False
adult_alary_muscle	3.5500651261479245e-07	6.011078360209056e-06	0.4764526743207689	0.6081594910347508	False	False
transmedullary_neuron_Tm20	3.121537428331779e-07	5.549838875740282e-06	0.4775730972542828	0.6081594910347508	False	False
lamina_monopolar_neuron_L4	3.8940835501773664e-08	6.284548973877055e-06	0.4975280570854318	0.6260319638667498	False	False
lobula_columnar_neuron_LC17	1.0026426480315977e-08	5.628173214918865e-06	0.4992892963354446	0.6260319638667498	False	False
transmedullary_neuron_Tm2	-7.493834018916462e-08	5.745297559052637e-06	0.5052034249456231	0.6286118951613479	False	False
neuron_15	-2.2905342871545707e-07	5.6290906688596136e-06	0.5162288887960625	0.6357767955190081	False	False
columnar_neuron_T1	-3.175864493485147e-07	5.633811916618995e-06	0.5224770712035484	0.6357767955190081	False	False
antennal_lobe_projection_neuron	-3.13785946616786e-07	5.520645066160756e-06	0.5226631325125588	0.6357767955190081	False	False
dopaminergic_PAM_neuron	-3.792027590057595e-07	5.194667190148633e-06	0.5290963326369457	0.6388348312579418	False	False
centrifugal_neuron_C3	-6.207775028037127e-07	5.529495118865668e-06	0.5446939799905597	0.6528317554298619	False	False
neuron_13	-7.136305480617178e-07	5.162807548826717e-06	0.5549688140651776	0.655517519143566	False	False
lamina_wide-field_1_neuron	-7.422827961700996e-07	5.369188950221836e-06	0.5549780223424057	0.655517519143566	False	False
distal_medullary_amacrine_neuron_Dm12	-8.362341933791307e-07	5.377834780571111e-06	0.5617850220675693	0.6563798381797546	False	False
neuron_7	-9.04709479086715e-07	5.5495223956918455e-06	0.5647505245978728	0.6563798381797546	False	False
neuron_1	-1.0082656786836595e-06	5.905023081951213e-06	0.5677886943763522	0.6563798381797546	False	False
ocellus_retinula_cell	-9.55274808232835e-07	5.267873515070581e-06	0.5719495420698284	0.6565336292773383	False	False
neuron_12	-1.0600228011786033e-06	5.187466771610122e-06	0.5809572861543797	0.6572893148882696	False	False
transmedullary_neuron_Tm1	-1.1543288895281132e-06	5.570529151301165e-06	0.5820812448066435	0.6572893148882696	False	False
neuron_9	-1.2029144364034632e-06	5.622527562013028e-06	0.5847052187656385	0.6572893148882696	False	False
transmedullary_neuron_Tm3a	-1.6105161823789982e-06	5.88693936792996e-06	0.6077941633136714	0.6785647165762222	False	False
lamina_monopolar_neuron_L3	-1.7914916131355207e-06	6.059309062933952e-06	0.6162548927866697	0.6833302552668514	False	False
transmedullary_Y_neuron_TmY5a	-1.933663367044359e-06	5.783420151970675e-06	0.6309407569078813	0.6948874552431396	False	False
lamina_monopolar_neuron_L1	-2.394013315127642e-06	5.993218731933874e-06	0.6552205286041553	0.7148821600130139	False	False
T_neuron_T2a	-2.359747849003304e-06	5.8029138489153176e-06	0.6578670184168839	0.7148821600130139	False	False
neuron_11	-2.7569463563017354e-06	5.56891002425822e-06	0.6897212274829354	0.7445335104617118	False	False
leg_muscle_motor_neuron	-2.7201827000445363e-06	5.267037826200176e-06	0.697231317036487	0.7476888465588644	False	False
neuron_16	-3.5305863408320368e-06	5.54809399160865e-06	0.7377291702998021	0.7859467631298546	False	False
gamma_Kenyon_cell	-3.595290965017317e-06	5.342715311174779e-06	0.7495051322997291	0.7933073802912718	False	False
Kenyon_cell	-3.918459113149022e-06	5.661346220187065e-06	0.7555761215720924	0.7945735988145229	False	False
neuron_3	-4.934560419774791e-06	5.542635410541407e-06	0.8133452704999099	0.8404603486539324	False	False
neuron_8	-5.062215034747788e-06	5.662339558218042e-06	0.814342997979407	0.8404603486539324	False	False
octopaminergic_tyraminergic_neuron	-4.8894066894703305e-06	5.461359707616782e-06	0.8146793563639344	0.8404603486539324	False	False
medullary_intrinsic_neuron_Mi1	-5.582290782198468e-06	5.917989649386697e-06	0.8272298310246214	0.8480406443837314	False	False
muscle_cell	-5.346665502898557e-06	5.2662595509656505e-06	0.8450109847866909	0.8608549407514413	False	False
alpha_beta_Kenyon_cell	-8.731080634081348e-06	6.155894426733013e-06	0.9219525631410146	0.9299015054572152	False	False
medullary_intrinsic_neuron_Mi15	-7.942544996336595e-06	5.539202079178845e-06	0.9241965882458212	0.9299015054572152	False	False
alpha__beta__Kenyon_cell	-1.0112648941138868e-05	5.945530862302027e-06	0.9555174661148812	0.9555174661148812	False	False
